,trip_master_id,estimated_dt,mindiff,smoothed,closure_percent,pull_timestamp,yy,mm,dd,DayOfWeek,hh,mi,minute_col,dy
0,7361,145,16,100,0,2023-01-28 00:16:00,2023,1,28,6,0,16,00:16:00,28
1,7361,153,18,100,0,2023-01-28 00:18:00,2023,1,28,6,0,18,00:18:00,28
2,7361,97,20,100,0,2023-01-28 00:20:00,2023,1,28,6,0,20,00:20:00,28
3,7361,95,22,100,0,2023-01-28 00:22:00,2023,1,28,6,0,22,00:22:00,28
4,7361,148,26,100,0,2023-01-28 00:26:00,2023,1,28,6,0,26,00:26:00,28
5,7361,148,24,100,0,2023-01-28 00:24:00,2023,1,28,6,0,24,00:24:00,28
6,7361,140,28,100,0,2023-01-28 00:28:00,2023,1,28,6,0,28,00:28:00,28
7,7361,111,34,100,0,2023-01-28 00:34:00,2023,1,28,6,0,34,00:34:00,28
8,7361,111,36,100,0,2023-01-28 00:36:00,2023,1,28,6,0,36,00:36:00,28
9,7361,110,38,100,0,2023-01-28 00:38:00,2023,1,28,6,0,38,00:38:00,28
10,7361,118,46,100,0,2023-01-28 00:46:00,2023,1,28,6,0,46,00:46:00,28
11,7361,68,280,100,0,2023-01-28 04:40:00,2023,1,28,6,4,40,04:40:00,28
12,7361,91,58,100,0,2023-01-28 00:58:00,2023,1,28,6,0,58,00:58:00,28
13,7361,136,62,100,0,2023-01-28 01:02:00,2023,1,28,6,1,2,01:02:00,28
14,7361,128,70,100,0,2023-01-28 01:10:00,2023,1,28,6,1,10,01:10:00,28
15,7361,134,72,100,0,2023-01-28 01:12:00,2023,1,28,6,1,12,01:12:00,28
16,7361,135,74,100,0,2023-01-28 01:14:00,2023,1,28,6,1,14,01:14:00,28
17,7361,87,82,100,0,2023-01-28 01:22:00,2023,1,28,6,1,22,01:22:00,28
18,7361,87,84,100,0,2023-01-28 01:24:00,2023,1,28,6,1,24,01:24:00,28
19,7361,71,290,100,0,2023-01-28 04:50:00,2023,1,28,6,4,50,04:50:00,28
20,7361,72,296,100,0,2023-01-28 04:56:00,2023,1,28,6,4,56,04:56:00,28
21,7361,84,298,100,0,2023-01-28 04:58:00,2023,1,28,6,4,58,04:58:00,28
22,7361,85,86,100,0,2023-01-28 01:26:00,2023,1,28,6,1,26,01:26:00,28
23,7361,85,88,100,0,2023-01-28 01:28:00,2023,1,28,6,1,28,01:28:00,28
24,7361,91,90,100,0,2023-01-28 01:30:00,2023,1,28,6,1,30,01:30:00,28
25,7361,93,94,100,0,2023-01-28 01:34:00,2023,1,28,6,1,34,01:34:00,28
26,7361,95,96,100,0,2023-01-28 01:36:00,2023,1,28,6,1,36,01:36:00,28
27,7361,96,98,100,0,2023-01-28 01:38:00,2023,1,28,6,1,38,01:38:00,28
28,7361,95,100,100,0,2023-01-28 01:40:00,2023,1,28,6,1,40,01:40:00,28
29,7361,135,104,100,0,2023-01-28 01:44:00,2023,1,28,6,1,44,01:44:00,28
30,7361,95,106,100,0,2023-01-28 01:46:00,2023,1,28,6,1,46,01:46:00,28
31,7361,104,110,100,0,2023-01-28 01:50:00,2023,1,28,6,1,50,01:50:00,28
32,7361,106,114,100,0,2023-01-28 01:54:00,2023,1,28,6,1,54,01:54:00,28
33,7361,137,116,100,0,2023-01-28 01:56:00,2023,1,28,6,1,56,01:56:00,28
34,7361,92,598,100,0,2023-01-28 09:58:00,2023,1,28,6,9,58,09:58:00,28
35,7361,90,600,100,0,2023-01-28 10:00:00,2023,1,28,6,10,0,10:00:00,28
36,7361,106,308,100,0,2023-01-28 05:08:00,2023,1,28,6,5,8,05:08:00,28
37,7361,95,604,100,0,2023-01-28 10:04:00,2023,1,28,6,10,4,10:04:00,28
38,7361,99,608,100,0,2023-01-28 10:08:00,2023,1,28,6,10,8,10:08:00,28
39,7361,87,612,100,0,2023-01-28 10:12:00,2023,1,28,6,10,12,10:12:00,28
40,7361,63,312,100,0,2023-01-28 05:12:00,2023,1,28,6,5,12,05:12:00,28
41,7361,94,616,100,0,2023-01-28 10:16:00,2023,1,28,6,10,16,10:16:00,28
42,7361,221,122,100,0,2023-01-28 02:02:00,2023,1,28,6,2,2,02:02:00,28
43,7361,99,126,100,0,2023-01-28 02:06:00,2023,1,28,6,2,6,02:06:00,28
44,7361,119,132,100,0,2023-01-28 02:12:00,2023,1,28,6,2,12,02:12:00,28
45,7361,106,908,100,0,2023-01-28 15:08:00,2023,1,28,6,15,8,15:08:00,28
46,7361,106,910,100,0,2023-01-28 15:10:00,2023,1,28,6,15,10,15:10:00,28
47,7361,92,630,100,0,2023-01-28 10:30:00,2023,1,28,6,10,30,10:30:00,28
48,7361,87,632,100,0,2023-01-28 10:32:00,2023,1,28,6,10,32,10:32:00,28
49,7361,243,912,100,0,2023-01-28 15:12:00,2023,1,28,6,15,12,15:12:00,28
50,7361,243,914,100,0,2023-01-28 15:14:00,2023,1,28,6,15,14,15:14:00,28
51,7361,89,638,100,0,2023-01-28 10:38:00,2023,1,28,6,10,38,10:38:00,28
52,7361,243,916,100,0,2023-01-28 15:16:00,2023,1,28,6,15,16,15:16:00,28
53,7361,255,924,100,0,2023-01-28 15:24:00,2023,1,28,6,15,24,15:24:00,28
54,7361,89,644,100,0,2023-01-28 10:44:00,2023,1,28,6,10,44,10:44:00,28
55,7361,117,324,100,0,2023-01-28 05:24:00,2023,1,28,6,5,24,05:24:00,28
56,7361,106,648,100,0,2023-01-28 10:48:00,2023,1,28,6,10,48,10:48:00,28
57,7361,259,928,100,0,2023-01-28 15:28:00,2023,1,28,6,15,28,15:28:00,28
58,7361,128,328,100,0,2023-01-28 05:28:00,2023,1,28,6,5,28,05:28:00,28
59,7361,120,334,100,0,2023-01-28 05:34:00,2023,1,28,6,5,34,05:34:00,28
60,7361,64,340,100,0,2023-01-28 05:40:00,2023,1,28,6,5,40,05:40:00,28
61,7361,122,336,100,0,2023-01-28 05:36:00,2023,1,28,6,5,36,05:36:00,28
62,7361,125,338,100,0,2023-01-28 05:38:00,2023,1,28,6,5,38,05:38:00,28
63,7361,52,350,100,0,2023-01-28 05:50:00,2023,1,28,6,5,50,05:50:00,28
64,7361,75,354,100,0,2023-01-28 05:54:00,2023,1,28,6,5,54,05:54:00,28
